"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"dist"
"12037477"	-4.44263363007942	3.20524569825558	-1.08026279598633	1.30835769633779	0.411530744073236	0.214212069907845	0.0243321297954404	0.0356922784717278	0.00244372755105087	0.00254704892626296	0.000411504042334146	0.000868138197691738	6.92531220801106
"12037475"	-4.31557501771868	3.39694772501897	-0.489408448998703	1.29484418421404	0.412260249660686	0.255429967723601	0.00530196731880518	0.0371132632546913	0.00230594596469093	0.00286083205099992	8.44613837542975e-05	0.000850297494692576	6.72129472513062
"12037491"	-4.30542038087003	3.1567107921719	-0.892469918441526	1.35814964134572	0.411257530063491	0.221081462206422	0.0176713574473783	0.0409239914055769	0.00229510685539431	0.00247049640062006	0.000280868115619478	0.000935472715266205	6.71364898409724
"12037495"	-4.09302479147357	2.66759663525455	-1.73604822107246	1.33835569505514	0.391516324970818	0.166303522053333	0.0704343795575374	0.0418604822905117	0.0020742473115669	0.00176422900280535	0.00106276889572635	0.00090840388118472	6.5413808837404
"12037473"	-4.76120397999358	1.97635024105256	-1.87317876503361	1.63790895424383	0.492551071013688	0.0848683021508523	0.0762388160814475	0.0582904228951137	0.00280676053516946	0.000968372521669858	0.00123729631295589	0.00136055277603212	6.78408302223333
"12037531"	-4.22743177060347	2.80875328173482	-1.59864602859406	1.33049423710841	0.402312850687946	0.17759792072122	0.0575327743854036	0.0398507671948827	0.00221271255175569	0.00195587826759706	0.000901197323744144	0.000897763354420677	6.6649156040031
"12037519"	-4.02730812329715	1.98621955242456	-2.74837237365159	1.35210794416564	0.362474973020412	0.0881663406180411	0.168810501016537	0.0408574293974468	0.00200817474808898	0.000978068204740825	0.00266358411327236	0.000927168369930105	6.68922562822756
"9865688"	-4.76691626773949	1.98235905884455	-1.64701608875656	1.69540239028214	0.434096660721286	0.0750716631806961	0.0518211541420861	0.0549107000245634	0.00281349943639878	0.000974269876807296	0.000956557211539725	0.0014577446651246	7.23509604936447
"9865646"	-3.3824519908103	2.3512231672495	-2.28413450045174	1.46547092369089	0.255733175966615	0.123569558387244	0.116618415726163	0.0480040856645727	0.00141656030483568	0.00137057353012147	0.00183974916422977	0.00108915650735882	6.68864436294716
"9865628"	-3.47386318198387	1.60800535929494	-1.43129443931602	1.2634792214115	0.397082859448601	0.0850806315178187	0.0674083488167689	0.0525281286825329	0.0014941603415788	0.000641046626639943	0.000722392511175324	0.000809602958840189	5.51279876296283
"9865626"	-3.12041063582077	1.28554303989843	-1.47095944854571	1.25327263112284	0.325032147651785	0.0551665800091898	0.0722277720821676	0.0524316988740773	0.0012055779178015	0.000409720673712478	0.000762986172908543	0.000796575582566547	5.47329165239628
"9865682"	-4.79522603489832	1.74369090738952	-2.17380017915952	1.75666556834042	0.429161315453388	0.056746803945654	0.0881945281710008	0.057594442483481	0.00284701629332099	0.000753795674839005	0.00166630503849769	0.00156499897125067	7.31979300047928
"9865714"	-4.78764311878507	1.98008124889385	-1.38648240744347	1.60387882326309	0.441677710674497	0.0755488687752107	0.0370416795566044	0.0495684170595954	0.00283801917161409	0.000972032212914473	0.000677866222300953	0.00130460483870972	7.20392243588847
"9865828"	-4.91322095036279	1.90776769192613	-1.78518016928341	1.5984220866526	0.451052541712592	0.0680057326542539	0.0595468307420254	0.047739458455826	0.00298885176013982	0.000902330453288581	0.00112377502170768	0.00129574285374835	7.31564677111824
"11747885"	-5.1870889412803	2.36444934054047	-2.03228136490225	1.61442483628846	0.477808029278804	0.0992809858434344	0.073345542267439	0.0462851541290875	0.00333134165336374	0.00138603648472077	0.00145640760110745	0.00132181762596174	7.50407166542635
"11747905"	-5.46568016955865	2.64003651321501	-1.37655347110355	1.60957195504529	0.488848572418144	0.114052757124011	0.0310078813283328	0.0423942263474115	0.00369879460290892	0.00172796325229115	0.000668192257170744	0.00131388293269055	7.81730468533142
"11747893"	-4.34921835096522	4.73622426605954	0.100123978629287	0.291537526182237	0.330429966585778	0.391851505789761	0.000175118972566054	0.00148472469271146	0.0023420394659865	0.00556133622897688	3.53501665916133e-06	4.31047178883638e-05	7.56608992308772
