"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"dist"
"8074152"	-0.427519214155888	-0.42692341395775	-0.898243734229967	0.062975801093606	0.0178659904503325	0.0178162282733314	0.0788686149532267	0.000387670917969764	0.000425077958681671	0.000804509436130193	0.00541684183153895	3.09650963972158e-05	3.19846858442314
"8074186"	0.335818363168634	0.0697708027248107	-0.454236543835381	-0.880488580996542	0.0104411265095394	0.000450698296145165	0.0191030458688935	0.0717771041886846	0.000262280613565675	2.14871410275181e-05	0.00138523004715873	0.00605302532460897	3.28647824295181
"8075750"	0.333454317627845	1.57793977870407	1.20437880636083	-2.40206994688305	0.00816331963330596	0.182799481871369	0.106492818247516	0.42360922636393	0.000258600881084805	0.0109903631809359	0.00973831842118772	0.0450501596333333	3.69065070685691
"8075734"	0.32140884703415	1.49125774962247	1.17571001704102	-2.32904678598483	0.00838525916908497	0.180512077114194	0.112202174369108	0.440308695125488	0.000240255292736583	0.00981604684163434	0.00928021843376878	0.0423527349541136	3.50993910477219
"8075738"	-1.97176683398057	-1.8094237898726	-1.59883961883006	1.80094953923104	0.111705175181437	0.0940681864725205	0.0734466483750767	0.0931891323873465	0.00904208165477941	0.0144514620589249	0.017161986840533	0.0253237562081962	5.89955032729372
"8075744"	0.333526616523545	1.57594090434641	1.20252117021092	-2.40031510247975	0.00818126046676764	0.182658160631057	0.106351761031862	0.423736367547402	0.000258713031889375	0.0109625364652402	0.00970830078716209	0.044984360431096	3.68740116032831
"8075740"	-0.296717256928553	0.590551625749922	0.456043679427926	-1.33701123332132	0.0114258669844517	0.0452604942218434	0.0269908421290021	0.231992350624118	0.000204758962723035	0.00153938387792249	0.00139627397623091	0.0139570986195246	2.775864248534
"8075736"	0.333251860316363	1.57270213705779	1.19943122743228	-2.39678857757263	0.00819428720625676	0.182498361923236	0.106149198669544	0.423862962677923	0.000258286956553255	0.0109175238374698	0.00965847288592419	0.0448522761625722	3.68143376825675
"8075772"	-0.421859895099063	-0.226521093102808	0.210335508379293	-0.77372950562354	0.0241814718334286	0.00697209904305649	0.00601134206645641	0.0813438208175901	0.000413898441078074	0.000226489718697523	0.000297018125438602	0.00467415760794943	2.71285683064727
"8075660"	0.33677989593217	0.85537766527403	1.04720983561427	-2.05717441244781	0.0123486308165686	0.0796603669254218	0.11939713757042	0.460753579362406	0.000263784715036672	0.0032295871427104	0.00736249794997098	0.0330420711921567	3.03065677587212
"8075656"	0.290586538379272	1.11454022586267	0.875842240083501	-2.07877141950787	0.00822417390596597	0.120985353441223	0.0747124667099245	0.420876596419126	0.000196384990880219	0.00548305611013301	0.00515002734214122	0.0337394896663367	3.20427180846565
"8075654"	-0.422421378335529	-0.0599084578216552	-0.0720300887223482	-0.751881563834211	0.0206549347417006	0.000415440018197855	0.000600564902391244	0.0654381360986058	0.000415000947838306	1.58419075686734e-05	3.48325814418828e-05	0.00441391440456944	2.93923273414398
"8075652"	0.390127460751526	0.983465055355016	1.14653262808425	-2.20840604892191	0.0147048964748361	0.0934473081362574	0.127005277030738	0.471201631339013	0.000353973175596278	0.00426922516972939	0.00882532278491794	0.0380787681907045	3.21718129752498
