"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"coord.Dim.5"	"coord.Dim.6"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"cos2.Dim.5"	"cos2.Dim.6"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"contrib.Dim.5"	"contrib.Dim.6"	"dist"
"7733021"	0.321417573421157	-1.02964641304387	-0.140328156964014	0.685229139092826	0.31534294085783	2.98834039347643	0.00439415616379821	0.0450933471560298	0.000837579219491503	0.0199713718058229	0.00422963097800521	0.379836225529952	0.000172315777104195	0.00250896499974135	5.51325660829045e-05	0.00174540657481335	0.000501661891335838	0.0516745724198843	4.84877324248073
"6170612"	-2.95800145189577	1.29583970177148	0.984647200684732	0.210827763953818	-0.171077400445691	1.12730448936227	0.395159348789419	0.0758364611425518	0.0437861536298787	0.00200738696941867	0.00132178488199727	0.0573928734034355	0.0145942765852049	0.00397393669479986	0.00271443761679254	0.00016522682863984	0.00014764888412387	0.00735358699081283	4.70557015103821
"6170596"	-1.69929323739029	1.28787763270622	1.05856458821725	0.789261662137278	-1.01125368247253	-0.294426944814749	0.185859048636838	0.106756973404586	0.0721243271840396	0.0400948937678475	0.0658214255357966	0.00557958832047327	0.00481639908328901	0.00392525235101405	0.0031372800457788	0.00231561832264064	0.00515899511197229	0.000501616560727604	3.94163562215524
"6170598"	-1.99045311326319	0.838243783281393	0.465896407348135	-0.909797730203724	-0.537334563040262	0.134652649261742	0.200818560983812	0.0356156298748311	0.0110021780757032	0.0419555718586693	0.014634891271584	0.000919030134509545	0.00660829939229748	0.0016628729304651	0.000607711265281297	0.00307690905458372	0.001456580318708	0.000104917169685076	4.44170822607114
"6170780"	-3.70556978078352	0.431581373644404	0.559875920700337	0.701626080955815	-0.837797144083717	2.52046248316263	0.408122183702244	0.00553612127952502	0.00931673598958357	0.0146315945583384	0.0208620970241703	0.188816822337987	0.0229031806679852	0.000440802213899333	0.000877611172279408	0.00182993814656445	0.00354097316382222	0.0367601467177214	5.80042606122319
"6170700"	-1.41517540221984	1.73513997245642	1.85004730811924	1.19709735525689	0.773354279279167	1.30970258315781	0.105213834632674	0.158168988073242	0.179811711441582	0.0752854844305471	0.031420225138408	0.0901151219552478	0.00334046056786122	0.00712504170329697	0.00958261924075813	0.00532701481316906	0.00301718451530487	0.00992572250673726	4.36288581367902
"7732921"	0.409567767943387	-1.10371877998041	-0.157349840831222	0.492195215264152	0.254546060313944	3.10617950715894	0.00677069242918141	0.0491697961107458	0.000999342043027845	0.00977814150821594	0.00261525657388105	0.389434697502028	0.000279793325128566	0.00288293762122258	6.93188229858195e-05	0.000900533217103247	0.000326871942275068	0.0558302871543924	4.97747661707516
"7732371"	-9.24409658373803	6.13565468786392	1.34771636704759	-2.12026219733976	-0.434937945145687	3.93772016111162	0.468816432420296	0.206535968868368	0.00996485266988162	0.0246634040255521	0.00103783538411797	0.0850674815020966	0.142532779970225	0.0890923061058256	0.00508528818095692	0.0167110639961136	0.000954331987481016	0.089723552318886	13.5009106029677
"7732351"	-16.6816929564547	8.14377373568985	1.24466334573451	-6.13558286791257	-1.71726091714816	0.824692295950502	0.651011296688036	0.155152820807619	0.00362419935228536	0.0880683643273982	0.00689891588960668	0.0015910805001678	0.464158228054718	0.156953056956328	0.00433732898318571	0.139938306555998	0.0148770717028859	0.00393550652098398	20.6750163148794
"6170782"	-3.22986047361165	0.291174363683036	0.849916121239651	0.34289865835974	0.116956416788661	2.27321995128777	0.406864819835088	0.00330665500875714	0.0281731073592499	0.00458579026402385	0.000533495456006365	0.201541986217752	0.0174001635473292	0.000200643294991233	0.00202241695760848	0.00043707557096901	6.90069754292825e-05	0.0299019615971557	5.06359184685208
"6170784"	-3.02392822336675	0.574929647400118	0.964001337869819	0.855103077705082	-0.0452493723064997	2.4498321196263	0.351802265154928	0.0127170120711437	0.0357528731308007	0.0281314821131149	7.87736180152126e-05	0.230902334212613	0.0152520690863951	0.000782253995590446	0.00260179956832224	0.00271807790939601	1.032927886343e-05	0.0347287706378523	5.09826214790548
"6178426"	-3.87362364033823	4.59933598651739	-3.47505868755874	-2.02621635107178	3.39787093210644	1.27667558710889	0.120572447278743	0.169982222643219	0.0970370349282418	0.032990193449644	0.0927741506851017	0.0130970757204506	0.0250276833727307	0.0500620528044935	0.0338098194007351	0.0152614779374991	0.0582449987905648	0.0094314370165926	11.1556115838096
"6170694"	-4.03252421301963	0.437503689138051	0.862623601750857	-0.568685655379025	-0.460456530760747	0.724670535529365	0.585818662828195	0.00689560974215112	0.0268072280288094	0.0116507473086589	0.00763812057351271	0.0189186630786249	0.0271231280589914	0.000452982912753607	0.00208334520282393	0.00120218002932075	0.00106960188167692	0.0030387709681556	5.26860187589823
"6170698"	-1.46771665641465	1.47546823465718	1.86117383330499	1.07391744455098	0.733129476371478	1.0862244337924	0.130172952533392	0.131551570678068	0.209319739626406	0.0696912258707489	0.0324786277875763	0.0712976876868189	0.00359310784624937	0.0051520267486775	0.00969822912142113	0.00428713101635294	0.00271147900840003	0.00682740862865828	4.06800843845839
"7732405"	-8.38757125927927	4.69886693104953	0.928052988108509	-1.72737443466073	-0.916227350180617	3.62077657846393	0.480845672702444	0.150910535010139	0.00588679365460351	0.0203941796989202	0.00573772553251155	0.0896059236609895	0.117343287877623	0.0522522112075585	0.00241137142871666	0.011091695470049	0.00423498023305215	0.0758612886819044	12.0957657303317
"7733311"	-10.1393400413679	6.54176094624718	-2.01696232551491	-3.81036935995671	-0.755882305487251	0.727849402592018	0.553531215972887	0.230415707029462	0.021903741914219	0.0781730206748892	0.0030763170984617	0.00285236961229264	0.171476726117634	0.101276275307625	0.0113897485518621	0.0539708321552902	0.00288239331735491	0.00306548941632081	13.628204109032
"7733059"	-4.96940014385556	-0.481083657062833	0.191605426750996	-1.23660030794462	-0.0979361751933669	1.91583178111201	0.586481852177417	0.00549652046114226	0.000871891115136121	0.0363166133466643	0.000227789090035439	0.0871688644199369	0.0411901850790914	0.000547721247347396	0.000102786049474487	0.00568438732573371	4.83872747105906e-05	0.0212388749554942	6.48898363967547
"6178052"	2.17102629489887	-2.95223626275808	-2.99189296552808	0.307495887230906	1.14407922110826	1.46168813838513	0.125827345689073	0.232673589101993	0.238966472911514	0.00252419842322972	0.0349427486423702	0.0570366899115903	0.0078616910711876	0.0206262654212907	0.0250617082160237	0.000351482401223637	0.00660323996633246	0.0123630665385859	6.12036842402771
"6170690"	-2.68768042497399	1.47423822597048	1.42768782590459	0.385432374570676	0.565878961374228	0.917331466664874	0.397973348300336	0.119738570331175	0.112296247726228	0.00818455579555682	0.0176419191710197	0.0463608419693573	0.0120487242027652	0.00514344046250265	0.00570670044865331	0.000552231712764755	0.00161544426799586	0.00486933151736448	4.26040252851495
