"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"coord.Dim.5"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"cos2.Dim.5"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"contrib.Dim.5"	"dist"
"14363542"	-7.15879549408457	2.93052489678838	-1.90244234115428	-1.00903108489292	0.818748651615151	0.709353249327655	0.118870333464444	0.0500963006381021	0.0140926199988888	0.00927862976396659	0.0283898353592189	0.0124215964644403	0.00605916673254974	0.00203147436603521	0.00174034742294958	8.49979937264292
"14363722"	-6.84708256180682	3.31604076983884	-1.75737327846726	-1.20780205840325	1.06246638766442	0.647944094569941	0.15197289257996	0.0426829515810905	0.020161272409952	0.015601156948028	0.0259713240465981	0.0159047302809548	0.00517032608234046	0.00291067547248315	0.0029306581191257	8.50622363772402
"14363752"	-4.97708966559208	1.83842832053023	-4.4032043892622	0.996953312117029	-1.23212910300005	0.370467518101857	0.0505466769288542	0.289959202294909	0.0148644500887211	0.0227044840693592	0.0137225206072382	0.00488854918228825	0.0324584358273151	0.00198313325131147	0.00394136985384405	8.17712048727429
"8426526"	-7.38100884035657	3.97835509329014	0.0993304176895328	-2.89883580824823	0.925132721660321	0.576677074747327	0.167536070071637	0.000104439734525094	0.0889505157472373	0.00905960619316836	0.0301796648653619	0.0228925237672654	1.65178843269983e-05	0.0167667732118104	0.00222199380173873	9.7196221505685
"14363030"	-7.11036541084451	2.99166314058778	-1.87952542787208	-1.04059365790493	0.858851549014312	0.706246411860854	0.125025268289679	0.0493479169386542	0.0151263715296747	0.0103040657301061	0.0280070136018682	0.0129452954562124	0.0059140679255197	0.00216055140991503	0.0019150096444203	8.4608460537185
"14363488"	-6.54588953860575	3.1109443863819	-3.19625446021369	-0.404522004901365	0.208909178765252	0.563235950302749	0.127214764215929	0.134287539558876	0.00215098471658946	0.000573677829305719	0.0237366981179432	0.0139981641011763	0.0171030116361393	0.000326502534929367	0.000113305189801431	8.72214874500747
"14363254"	-6.59215947705774	3.01659433144595	-3.24030314573032	-0.32659109262022	0.243294170062428	0.574477785072269	0.12029612833677	0.138799887346793	0.00141002398496017	0.000782494391333371	0.0240734521166947	0.0131619551596326	0.0175776649424612	0.000212819259026239	0.000153673210136077	8.69743287422947
"14363248"	-6.14683641880149	2.80718412600831	-3.6342540629173	-0.0347842121854614	-0.407751950749003	0.512702308946648	0.10693103257792	0.179222500017769	1.64182288578542e-05	0.00225607772049317	0.0209308214626039	0.0113979929606892	0.0221116151194773	2.41416305053634e-06	0.000431645138424017	8.58457934548125
"14363192"	-6.13481898934498	2.68861359985937	-3.76687665365518	0.106042624934856	-0.502370470952966	0.517845563125574	0.0994611635191686	0.195235843059661	0.000154724002778532	0.0034725216412067	0.0208490594729626	0.010455465368865	0.023754872074798	2.24369176751633e-05	0.000655213695712194	8.52514203534379
"14363174"	-6.17776729314262	2.58730003856379	-3.83441275052797	0.184040673044099	-0.578153935312496	0.523245878626729	0.0917775195829713	0.201576753512001	0.000464376626006159	0.00458278727285462	0.0211419991950215	0.00968233658016904	0.0246143072459108	6.75818196483091e-05	0.000867804166935974	8.540408358861
"14363152"	-6.16707231382888	2.48660384154221	-3.91564484560441	0.281709911600353	-0.631410660448278	0.524943164497665	0.0853429014378388	0.211621988435053	0.00109536398600769	0.00550272770981612	0.02106886030546	0.00894334091602863	0.025668263248185	0.000158345785972718	0.00103504344444123	8.51182916118937
"14363118"	-6.05548449512092	2.26719824601261	-4.12416117531329	0.530089058345084	-0.652630878458562	0.517436131720219	0.0725333861269405	0.2400104866753	0.00396512276847429	0.0060102729396013	0.0203133127331387	0.00743473647471641	0.0284748310563173	0.00056066046814868	0.0011057832193876	8.41822483412434
"14363114"	-6.04539205359486	2.14244610757297	-4.18671899511205	0.620996355364074	-0.728430076219892	0.516499046586563	0.0648694767712996	0.247724070867654	0.00545002739318621	0.00749887856477632	0.020245658335132	0.00663905701192486	0.0293452303347269	0.000769449918485366	0.00137755991578371	8.41181492237438
"14363078"	-7.15155534522119	2.03081627647463	-4.1868015364626	0.77952286678599	0.833496237213625	0.62471930068409	0.0503761747444459	0.214115775170353	0.00742235350472373	0.00848576895467783	0.0283324394765924	0.00596523911151706	0.0293463874311662	0.00121243921382287	0.00180360755609071	9.04811354907271
